# Solar irradiance (Kurucz, R.L. 2005)   revised 02jan2010
# High resolution irradiance spectrum from 300 to 1000 nm.
# Thuillier et al (2004) calibration
# Kurucz.harvard.edu/sun/irradiance2005/irradthu.dat
#  
#  (tails left on to allow broadening)
#  
#      nm    W/m**2/nm
#     927476   2.45147  max   revised 02jan2010
  299.16149  0.90265
  299.16182  0.90444
  299.16214  0.90803
  299.16247  0.91258
  299.16280  0.91631
  299.16312  0.91756
  299.16345  0.91576
  299.16378  0.91190
  299.16410  0.90789
  299.16443  0.90541
  299.16475  0.90485
  299.16508  0.90569
  299.16541  0.90610
  299.16573  0.90513
  299.16606  0.90196
  299.16639  0.89671
  299.16671  0.88953
  299.16704  0.88056
  299.16736  0.86966
  299.16769  0.85681
  299.16802  0.84246
  299.16834  0.82686
  299.16867  0.81058
  299.16900  0.79346
  299.16932  0.77510
  299.16965  0.75453
  299.16997  0.73147
  299.17030  0.70539
  299.17063  0.67626
  299.17095  0.64465
  299.17128  0.61096
  299.17161  0.57590
  299.17193  0.54029
  299.17226  0.50468
  299.17258  0.47017
  299.17291  0.43745
  299.17324  0.40819
  299.17356  0.38431
  299.17389  0.36802
  299.17422  0.36125
  299.17454  0.36470
  299.17487  0.37768
  299.17519  0.39825
  299.17552  0.42461
  299.17585  0.45554
  299.17617  0.49060
  299.17650  0.53008
  299.17683  0.57314
  299.17715  0.61787
  299.17748  0.66094
  299.17780  0.69959
  299.17813  0.73189
  299.17846  0.75867
  299.17878  0.78158
  299.17911  0.80215
  299.17944  0.82106
  299.17976  0.83722
  299.18009  0.84909
  299.18041  0.85574
  299.18074  0.85802
  299.18107  0.85708
  299.18139  0.85474
  299.18172  0.85170
  299.18205  0.84770
  299.18237  0.84244
  299.18270  0.83568
  299.18302  0.82823
  299.18335  0.82105
  299.18368  0.81470
  299.18400  0.80917
  299.18433  0.80351
  299.18466  0.79716
  299.18498  0.79054
  299.18531  0.78474
  299.18563  0.78074
  299.18596  0.77894
  299.18629  0.77811
  299.18661  0.77576
  299.18694  0.76955
  299.18727  0.75837
  299.18759  0.74263
  299.18792  0.72386
  299.18824  0.70369
  299.18857  0.68243
  299.18890  0.65979
